document,proches
college_eps_college.txt,lycee_langues_1-T.txt*0.10612423%lycee_maths_1S.txt*0.08941113%lycee_sante-social_2.txt*0.07212782%lycee_eps_lycee.txt*0.044003356%college_maths_college.txt*0.041977737%lycee_langues_2.txt*0.037915193%lycee_arts_2.txt*0.03720138%lycee_svt_lycee.txt*0.035927057%lycee_creation-culture-design_2.txt*0.035882942%college_arts_college.txt*0.030635357%college_technologie_college.txt*0.030333597%lycee_svt_2.txt*0.029318778%lycee_francais_2-1.txt*0.027541567%lycee_arts_TL.txt*0.027075522%lycee_sciences-laboratoire_2.txt*0.027002115%lycee_eps_T.txt*0.02549322%lycee_methodes-pratiques-scientifiques_2.txt*0.023322292%lycee_eps_tout.txt*0.02305474%lycee_ecjs_1.txt*0.021017242%lycee_svt_Tspe.txt*0.020733405%college_svt_college.txt*0.020516405%college_histoire-geo_intro.txt*0.018984444%lycee_physique-chimie_2.txt*0.01795149%lycee_litterature_2.txt*0.017083999%lycee_sciences_lycee.txt*0.016764982%lycee_informatique_TS.txt*0.015154821%college_histoire-geo_4.txt*0.014434358%lycee_arts-creation_2.txt*0.014294261%lycee_creation-innovation-technologiques_2.txt*0.014257094%lycee_sciences_1ES-L.txt*0.013865281%lycee_maths_2.txt*0.013381051%college_arts-musique_intro.txt*0.01267329%lycee_sciences-ingenieur_2.txt*0.01256261%lycee_litterature_TL.txt*0.011662384%lycee_maths_1ES-L.txt*0.0114781195%lycee_ses_1ses.txt*0.011274369%lycee_economie-gestion_2.txt*0.011129807%lycee_physique-chimie_TS.txt*0.010579076%lycee_droit_TL.txt*0.0102245575%lycee_biotechnologies_2.txt*0.010062446%lycee_maths_TS.txt*0.010001592%lycee_litterature-etrangere_TL.txt*0.009531882%lycee_ecjs_2.txt*0.009508907%lycee_physique-chimie_lycee.txt*0.008932264%lycee_histoire-geo_1.txt*0.008891807%lycee_ecjs_T.txt*0.008860003%lycee_histoire-geo_2.txt*0.008637074%lycee_ses_2.txt*0.00861561%college_histoire-geo_6.txt*0.00860671%college_exploration_tout.txt*0.0076085734%lycee_histoire-des-arts_lycee.txt*0.0073808795%lycee_histoire-geo_TES-L.txt*0.007306399%lycee_histoire-geo_TS-opt.txt*0.007292864%college_histoire-geo_3.txt*0.006724386%college_histoire-geo_5.txt*0.006390661%lycee_sciences-ingenieur_T.txt*0.006358009%lycee_ses_TES.txt*0.005048137%
lycee_ses_2.txt,lycee_sante-social_2.txt*0.074142516%lycee_histoire-geo_1.txt*0.0486018%lycee_creation-culture-design_2.txt*0.037575305%lycee_svt_2.txt*0.030543113%lycee_sciences-laboratoire_2.txt*0.027569491%lycee_economie-gestion_2.txt*0.02588315%college_arts_college.txt*0.022851015%lycee_eps_tout.txt*0.021757936%lycee_svt_Tspe.txt*0.021409502%lycee_ecjs_1.txt*0.02130573%lycee_ses_1ses.txt*0.019605305%college_histoire-geo_4.txt*0.019080108%lycee_arts_TL.txt*0.019018542%lycee_eps_lycee.txt*0.018096197%lycee_litterature_2.txt*0.017517725%college_technologie_college.txt*0.017512359%lycee_sciences_lycee.txt*0.017162314%lycee_physique-chimie_2.txt*0.016231215%college_exploration_tout.txt*0.016017538%lycee_creation-innovation-technologiques_2.txt*0.014299334%college_histoire-geo_intro.txt*0.013806592%college_svt_college.txt*0.013661649%lycee_eps_T.txt*0.013634651%lycee_methodes-pratiques-scientifiques_2.txt*0.013573697%lycee_arts_2.txt*0.013086934%lycee_informatique_TS.txt*0.012323607%lycee_litterature_TL.txt*0.011759657%lycee_maths_1ES-L.txt*0.011695654%lycee_sciences_1ES-L.txt*0.011679045%lycee_sciences-ingenieur_2.txt*0.011407683%lycee_francais_2-1.txt*0.011385432%lycee_langues_2.txt*0.011360105%lycee_maths_2.txt*0.011336103%lycee_biotechnologies_2.txt*0.011314904%lycee_ses_TES.txt*0.011148054%lycee_arts-creation_2.txt*0.011130511%college_maths_college.txt*0.010710084%lycee_droit_TL.txt*0.010476498%lycee_physique-chimie_TS.txt*0.010462737%lycee_histoire-geo_TS-opt.txt*0.0104511585%lycee_histoire-geo_TES-L.txt*0.010391437%lycee_histoire-geo_2.txt*0.01033654%lycee_maths_TS.txt*0.010263685%lycee_svt_lycee.txt*0.010188703%lycee_ecjs_T.txt*0.009826828%lycee_langues_1-T.txt*0.009754459%lycee_maths_1S.txt*0.009712231%lycee_ecjs_2.txt*0.009709446%college_arts-musique_intro.txt*0.008754152%college_eps_college.txt*0.00861561%college_histoire-geo_5.txt*0.008377107%lycee_litterature-etrangere_TL.txt*0.008117433%college_histoire-geo_3.txt*0.008030263%lycee_physique-chimie_lycee.txt*0.0075542%college_histoire-geo_6.txt*0.007504132%lycee_sciences-ingenieur_T.txt*0.0066852598%lycee_histoire-des-arts_lycee.txt*0.004470185%
college_histoire-geo_5.txt,lycee_sante-social_2.txt*0.071138136%college_histoire-geo_4.txt*0.053196125%lycee_creation-culture-design_2.txt*0.05112218%lycee_svt_2.txt*0.027746946%college_histoire-geo_3.txt*0.022650547%college_histoire-geo_6.txt*0.022094348%lycee_svt_Tspe.txt*0.022009272%lycee_histoire-geo_2.txt*0.01988373%college_technologie_college.txt*0.01979154%lycee_ecjs_1.txt*0.01933815%lycee_sciences_lycee.txt*0.018404966%college_histoire-geo_intro.txt*0.018306963%lycee_arts_TL.txt*0.017747512%college_arts_college.txt*0.0169716%college_svt_college.txt*0.01673186%lycee_histoire-geo_1.txt*0.016692106%lycee_histoire-geo_TES-L.txt*0.014556723%lycee_histoire-geo_TS-opt.txt*0.014446966%lycee_sciences-laboratoire_2.txt*0.0136541575%lycee_francais_2-1.txt*0.012048624%lycee_litterature_2.txt*0.012037431%college_arts-musique_intro.txt*0.011855954%lycee_economie-gestion_2.txt*0.011594055%lycee_litterature_TL.txt*0.011210697%lycee_physique-chimie_2.txt*0.010443853%college_maths_college.txt*0.010112758%lycee_informatique_TS.txt*0.010058249%lycee_eps_tout.txt*0.009960379%lycee_physique-chimie_TS.txt*0.00986573%lycee_droit_TL.txt*0.009708488%lycee_arts_2.txt*0.0095779095%lycee_svt_lycee.txt*0.00952033%lycee_sciences_1ES-L.txt*0.00948089%lycee_ecjs_T.txt*0.008834123%lycee_maths_TS.txt*0.008689539%lycee_creation-innovation-technologiques_2.txt*0.008635724%lycee_ses_2.txt*0.008377107%lycee_eps_lycee.txt*0.008345139%lycee_histoire-des-arts_lycee.txt*0.008210124%lycee_ecjs_2.txt*0.007984913%lycee_methodes-pratiques-scientifiques_2.txt*0.007948546%lycee_physique-chimie_lycee.txt*0.007868898%lycee_ses_1ses.txt*0.00781961%lycee_langues_2.txt*0.007780561%lycee_langues_1-T.txt*0.00768404%lycee_maths_2.txt*0.007521409%lycee_arts-creation_2.txt*0.0074088615%lycee_eps_T.txt*0.0071804686%lycee_maths_1ES-L.txt*0.007030281%lycee_sciences-ingenieur_2.txt*0.006627277%lycee_maths_1S.txt*0.0065575843%college_eps_college.txt*0.006390661%college_exploration_tout.txt*0.0061887866%lycee_litterature-etrangere_TL.txt*0.0059643835%lycee_biotechnologies_2.txt*0.0058560404%lycee_ses_TES.txt*0.005656376%lycee_sciences-ingenieur_T.txt*0.005294049%
lycee_svt_2.txt,lycee_sante-social_2.txt*0.5257208%lycee_creation-culture-design_2.txt*0.266823%lycee_svt_Tspe.txt*0.26593724%college_histoire-geo_4.txt*0.21400593%lycee_physique-chimie_2.txt*0.20715384%college_arts_college.txt*0.14070727%lycee_eps_tout.txt*0.11761531%college_technologie_college.txt*0.09044978%lycee_ecjs_1.txt*0.08872462%lycee_sciences-laboratoire_2.txt*0.07645588%lycee_svt_lycee.txt*0.06340775%college_svt_college.txt*0.06097922%lycee_sciences_lycee.txt*0.05570843%lycee_arts_TL.txt*0.053832795%lycee_informatique_TS.txt*0.050648876%lycee_physique-chimie_TS.txt*0.04925533%college_maths_college.txt*0.0449011%lycee_droit_TL.txt*0.043735817%lycee_ses_1ses.txt*0.043248728%college_histoire-geo_intro.txt*0.040535025%lycee_langues_2.txt*0.04051579%lycee_maths_TS.txt*0.040207032%lycee_economie-gestion_2.txt*0.039852515%lycee_litterature_2.txt*0.039801866%lycee_sciences_1ES-L.txt*0.03938381%lycee_maths_1ES-L.txt*0.039206587%lycee_histoire-geo_2.txt*0.037099876%lycee_arts_2.txt*0.036893114%lycee_maths_1S.txt*0.0358323%lycee_eps_T.txt*0.035737794%lycee_physique-chimie_lycee.txt*0.035234753%lycee_methodes-pratiques-scientifiques_2.txt*0.03507465%lycee_francais_2-1.txt*0.034876376%lycee_litterature_TL.txt*0.034584247%lycee_eps_lycee.txt*0.034152903%lycee_ses_TES.txt*0.03379337%lycee_histoire-geo_1.txt*0.032847535%lycee_langues_1-T.txt*0.032165993%college_histoire-geo_6.txt*0.03191633%lycee_arts-creation_2.txt*0.03177358%lycee_ecjs_T.txt*0.03167297%lycee_ecjs_2.txt*0.03110696%lycee_sciences-ingenieur_2.txt*0.030769592%lycee_sciences-ingenieur_T.txt*0.030702647%lycee_ses_2.txt*0.030543113%lycee_histoire-geo_TES-L.txt*0.030434791%lycee_maths_2.txt*0.029900435%lycee_creation-innovation-technologiques_2.txt*0.029715955%college_eps_college.txt*0.029318778%lycee_litterature-etrangere_TL.txt*0.028198548%college_histoire-geo_5.txt*0.027746946%lycee_biotechnologies_2.txt*0.027047584%college_histoire-geo_3.txt*0.026649667%lycee_histoire-geo_TS-opt.txt*0.025707753%college_arts-musique_intro.txt*0.018135723%college_exploration_tout.txt*0.017776344%lycee_histoire-des-arts_lycee.txt*0.016920099%
lycee_sciences_1ES-L.txt,lycee_maths_TS.txt*0.13532172%lycee_histoire-geo_TS-opt.txt*0.10082342%lycee_sante-social_2.txt*0.09378655%lycee_creation-innovation-technologiques_2.txt*0.079845846%lycee_ses_1ses.txt*0.061073124%lycee_eps_tout.txt*0.05521155%lycee_droit_TL.txt*0.046562612%lycee_economie-gestion_2.txt*0.044753518%lycee_litterature_2.txt*0.044550333%lycee_creation-culture-design_2.txt*0.043515436%lycee_arts_TL.txt*0.040989634%lycee_svt_2.txt*0.03938381%lycee_sciences-laboratoire_2.txt*0.038027614%lycee_eps_lycee.txt*0.036217827%college_technologie_college.txt*0.03464835%lycee_eps_T.txt*0.033059146%lycee_informatique_TS.txt*0.03269225%college_arts_college.txt*0.03249214%lycee_maths_2.txt*0.031513125%college_histoire-geo_intro.txt*0.03128256%lycee_ecjs_1.txt*0.029123386%lycee_sciences_lycee.txt*0.02785697%lycee_svt_Tspe.txt*0.02741184%college_svt_college.txt*0.024513364%lycee_sciences-ingenieur_2.txt*0.024218168%lycee_ecjs_2.txt*0.024150187%college_arts-musique_intro.txt*0.023335256%lycee_physique-chimie_2.txt*0.022801338%lycee_litterature_TL.txt*0.021640707%lycee_litterature-etrangere_TL.txt*0.02074463%lycee_langues_1-T.txt*0.020671712%lycee_histoire-geo_TES-L.txt*0.020393535%lycee_histoire-geo_1.txt*0.020195935%lycee_arts_2.txt*0.019834995%college_maths_college.txt*0.01909314%lycee_histoire-geo_2.txt*0.018119428%lycee_francais_2-1.txt*0.017322976%college_histoire-geo_4.txt*0.017198209%lycee_methodes-pratiques-scientifiques_2.txt*0.017074648%lycee_ecjs_T.txt*0.016906073%lycee_langues_2.txt*0.016346887%lycee_arts-creation_2.txt*0.016198248%lycee_maths_1ES-L.txt*0.016013598%college_exploration_tout.txt*0.015290177%lycee_physique-chimie_TS.txt*0.015253548%lycee_svt_lycee.txt*0.015096569%lycee_histoire-des-arts_lycee.txt*0.014075788%college_eps_college.txt*0.013865281%lycee_ses_TES.txt*0.013605914%college_histoire-geo_6.txt*0.011821891%lycee_ses_2.txt*0.011679045%lycee_sciences-ingenieur_T.txt*0.011549052%lycee_maths_1S.txt*0.011440519%lycee_biotechnologies_2.txt*0.010826635%college_histoire-geo_3.txt*0.010528369%lycee_physique-chimie_lycee.txt*0.010177009%college_histoire-geo_5.txt*0.00948089%
lycee_economie-gestion_2.txt,lycee_droit_TL.txt*0.18471716%lycee_litterature_2.txt*0.12701784%lycee_sante-social_2.txt*0.10931266%lycee_maths_TS.txt*0.066219345%lycee_creation-culture-design_2.txt*0.05612449%lycee_ses_1ses.txt*0.054562826%lycee_eps_lycee.txt*0.047771886%lycee_creation-innovation-technologiques_2.txt*0.046065897%lycee_sciences_1ES-L.txt*0.044753518%lycee_maths_2.txt*0.0406298%lycee_svt_2.txt*0.039852515%lycee_informatique_TS.txt*0.036826186%lycee_arts_TL.txt*0.035734158%lycee_sciences-laboratoire_2.txt*0.034038346%lycee_sciences_lycee.txt*0.033746846%lycee_sciences-ingenieur_2.txt*0.033456538%college_technologie_college.txt*0.030349001%lycee_ses_TES.txt*0.030096108%lycee_ses_2.txt*0.02588315%lycee_ecjs_1.txt*0.025772488%lycee_svt_Tspe.txt*0.025304321%college_arts_college.txt*0.024440724%college_histoire-geo_4.txt*0.023167226%college_histoire-geo_intro.txt*0.022616332%lycee_litterature_TL.txt*0.021545773%lycee_histoire-geo_TS-opt.txt*0.02154106%lycee_maths_1ES-L.txt*0.020990614%college_svt_college.txt*0.020453986%lycee_arts-creation_2.txt*0.01985023%lycee_eps_T.txt*0.019839628%lycee_arts_2.txt*0.018788971%lycee_maths_1S.txt*0.018283948%lycee_svt_lycee.txt*0.017897848%lycee_methodes-pratiques-scientifiques_2.txt*0.017748408%college_maths_college.txt*0.017626468%lycee_ecjs_2.txt*0.017112557%lycee_eps_tout.txt*0.017057018%lycee_biotechnologies_2.txt*0.01704131%lycee_langues_2.txt*0.016513893%lycee_histoire-geo_2.txt*0.016483525%lycee_physique-chimie_2.txt*0.01646947%lycee_francais_2-1.txt*0.016085485%lycee_physique-chimie_TS.txt*0.015510717%lycee_physique-chimie_lycee.txt*0.013933214%lycee_langues_1-T.txt*0.013691601%lycee_ecjs_T.txt*0.013505692%college_histoire-geo_3.txt*0.012655349%lycee_histoire-geo_TES-L.txt*0.012405606%lycee_litterature-etrangere_TL.txt*0.012308211%lycee_histoire-geo_1.txt*0.012009444%college_histoire-geo_6.txt*0.011597699%college_histoire-geo_5.txt*0.011594055%college_eps_college.txt*0.011129807%college_arts-musique_intro.txt*0.01077736%lycee_histoire-des-arts_lycee.txt*0.010020954%lycee_sciences-ingenieur_T.txt*0.009481002%college_exploration_tout.txt*0.0084839165%
lycee_eps_T.txt,lycee_eps_tout.txt*0.18529646%lycee_sante-social_2.txt*0.09745885%lycee_creation-culture-design_2.txt*0.085048%lycee_arts_TL.txt*0.074697636%lycee_eps_lycee.txt*0.054389596%lycee_sciences-laboratoire_2.txt*0.049955003%college_technologie_college.txt*0.04779059%lycee_ecjs_1.txt*0.043699145%college_arts_college.txt*0.037822448%lycee_svt_2.txt*0.035737794%college_histoire-geo_4.txt*0.033189666%lycee_sciences_1ES-L.txt*0.033059146%lycee_svt_Tspe.txt*0.031357165%lycee_histoire-geo_TS-opt.txt*0.029801207%lycee_creation-innovation-technologiques_2.txt*0.029518591%lycee_ecjs_2.txt*0.02894995%lycee_arts-creation_2.txt*0.028869579%lycee_litterature-etrangere_TL.txt*0.02795659%college_histoire-geo_intro.txt*0.026387053%lycee_informatique_TS.txt*0.026072437%lycee_arts_2.txt*0.025744569%college_eps_college.txt*0.02549322%lycee_langues_1-T.txt*0.024558855%college_exploration_tout.txt*0.02382642%lycee_litterature_TL.txt*0.021775471%lycee_litterature_2.txt*0.02169598%lycee_droit_TL.txt*0.021438938%lycee_histoire-des-arts_lycee.txt*0.021320112%lycee_ses_1ses.txt*0.020739382%lycee_histoire-geo_TES-L.txt*0.02001643%lycee_economie-gestion_2.txt*0.019839628%lycee_physique-chimie_2.txt*0.019576382%lycee_sciences-ingenieur_2.txt*0.01955223%lycee_biotechnologies_2.txt*0.018021036%lycee_histoire-geo_1.txt*0.017452752%lycee_francais_2-1.txt*0.017189454%college_svt_college.txt*0.017078137%lycee_methodes-pratiques-scientifiques_2.txt*0.016629405%lycee_sciences_lycee.txt*0.015923528%lycee_ecjs_T.txt*0.015591307%lycee_langues_2.txt*0.015444605%college_maths_college.txt*0.015216418%lycee_maths_TS.txt*0.014855808%lycee_maths_2.txt*0.01472022%lycee_ses_2.txt*0.013634651%lycee_physique-chimie_TS.txt*0.01283024%lycee_maths_1ES-L.txt*0.012502225%college_arts-musique_intro.txt*0.012262976%lycee_sciences-ingenieur_T.txt*0.011268348%lycee_histoire-geo_2.txt*0.010937524%lycee_ses_TES.txt*0.010882853%college_histoire-geo_6.txt*0.010706331%lycee_maths_1S.txt*0.009623623%college_histoire-geo_3.txt*0.008662984%lycee_svt_lycee.txt*0.008456046%college_histoire-geo_5.txt*0.0071804686%lycee_physique-chimie_lycee.txt*0.0061277775%
lycee_arts_TL.txt,lycee_sante-social_2.txt*0.119163826%lycee_creation-culture-design_2.txt*0.11261061%college_arts_college.txt*0.08737756%lycee_eps_tout.txt*0.07896316%lycee_eps_T.txt*0.074697636%lycee_arts_2.txt*0.05992667%college_technologie_college.txt*0.059792344%college_histoire-geo_intro.txt*0.058945656%lycee_litterature_2.txt*0.05837838%lycee_arts-creation_2.txt*0.05806967%lycee_svt_2.txt*0.053832795%lycee_litterature_TL.txt*0.05317819%lycee_informatique_TS.txt*0.049933974%lycee_ecjs_1.txt*0.0496796%lycee_sciences-laboratoire_2.txt*0.04928591%lycee_histoire-des-arts_lycee.txt*0.04643247%college_arts-musique_intro.txt*0.045495816%lycee_eps_lycee.txt*0.04520328%college_histoire-geo_4.txt*0.044126485%lycee_francais_2-1.txt*0.04407876%lycee_svt_Tspe.txt*0.042718474%lycee_litterature-etrangere_TL.txt*0.04271683%lycee_sciences_1ES-L.txt*0.040989634%lycee_creation-innovation-technologiques_2.txt*0.037666135%lycee_droit_TL.txt*0.037569307%lycee_langues_1-T.txt*0.037023094%lycee_histoire-geo_TS-opt.txt*0.03650627%lycee_ses_1ses.txt*0.03627854%lycee_economie-gestion_2.txt*0.035734158%lycee_ecjs_2.txt*0.034792773%college_maths_college.txt*0.03408566%college_svt_college.txt*0.033070832%lycee_sciences_lycee.txt*0.032962784%lycee_langues_2.txt*0.032240655%lycee_maths_2.txt*0.029248009%lycee_physique-chimie_2.txt*0.0290028%lycee_sciences-ingenieur_2.txt*0.028364781%lycee_maths_TS.txt*0.027859557%lycee_histoire-geo_1.txt*0.027458549%lycee_methodes-pratiques-scientifiques_2.txt*0.027429515%college_eps_college.txt*0.027075522%lycee_histoire-geo_2.txt*0.02681013%lycee_histoire-geo_TES-L.txt*0.026807383%lycee_maths_1ES-L.txt*0.025756618%college_histoire-geo_6.txt*0.025178218%lycee_physique-chimie_TS.txt*0.024448331%college_exploration_tout.txt*0.024070349%lycee_ecjs_T.txt*0.023656424%lycee_svt_lycee.txt*0.022716666%lycee_physique-chimie_lycee.txt*0.021775734%lycee_maths_1S.txt*0.021240508%college_histoire-geo_3.txt*0.020483287%lycee_biotechnologies_2.txt*0.019212354%lycee_ses_2.txt*0.019018542%lycee_ses_TES.txt*0.018653587%college_histoire-geo_5.txt*0.017747512%lycee_sciences-ingenieur_T.txt*0.014223473%
lycee_informatique_TS.txt,lycee_physique-chimie_lycee.txt*0.15828718%lycee_sciences_lycee.txt*0.15125589%college_histoire-geo_intro.txt*0.13775945%lycee_sante-social_2.txt*0.1100558%college_arts-musique_intro.txt*0.103770204%lycee_creation-culture-design_2.txt*0.07591694%lycee_eps_lycee.txt*0.07410154%lycee_droit_TL.txt*0.054260563%lycee_svt_2.txt*0.050648876%lycee_arts_TL.txt*0.049933974%lycee_eps_tout.txt*0.049602408%college_technologie_college.txt*0.044770945%lycee_ses_1ses.txt*0.04041786%college_arts_college.txt*0.03983874%lycee_litterature_2.txt*0.039061986%lycee_maths_TS.txt*0.03804186%lycee_economie-gestion_2.txt*0.036826186%lycee_sciences-laboratoire_2.txt*0.03602311%lycee_sciences_1ES-L.txt*0.03269225%lycee_svt_Tspe.txt*0.03230791%lycee_maths_1ES-L.txt*0.031883202%lycee_ecjs_1.txt*0.031291988%lycee_maths_2.txt*0.030505538%lycee_ses_TES.txt*0.029928837%lycee_maths_1S.txt*0.028520765%college_histoire-geo_4.txt*0.02672561%lycee_eps_T.txt*0.026072437%lycee_litterature_TL.txt*0.025235094%college_maths_college.txt*0.023950314%college_svt_college.txt*0.023911804%lycee_francais_2-1.txt*0.023680484%lycee_creation-innovation-technologiques_2.txt*0.023341108%lycee_sciences-ingenieur_2.txt*0.02204406%lycee_langues_2.txt*0.021227611%lycee_svt_lycee.txt*0.020637773%lycee_langues_1-T.txt*0.020522235%lycee_physique-chimie_2.txt*0.020166684%lycee_litterature-etrangere_TL.txt*0.019923104%lycee_arts_2.txt*0.019345291%lycee_ecjs_2.txt*0.018876903%lycee_histoire-geo_TS-opt.txt*0.018540727%lycee_arts-creation_2.txt*0.018273136%lycee_physique-chimie_TS.txt*0.017422983%lycee_histoire-geo_2.txt*0.015282136%college_eps_college.txt*0.015154821%lycee_methodes-pratiques-scientifiques_2.txt*0.015099403%lycee_sciences-ingenieur_T.txt*0.014372963%college_histoire-geo_6.txt*0.014261371%lycee_histoire-geo_1.txt*0.014109482%lycee_ecjs_T.txt*0.013365389%lycee_histoire-geo_TES-L.txt*0.012774009%lycee_biotechnologies_2.txt*0.0124951275%lycee_ses_2.txt*0.012323607%college_exploration_tout.txt*0.011596769%college_histoire-geo_3.txt*0.011168139%college_histoire-geo_5.txt*0.010058249%lycee_histoire-des-arts_lycee.txt*0.008530138%
lycee_maths_TS.txt,lycee_sciences_1ES-L.txt*0.13532172%lycee_histoire-geo_TS-opt.txt*0.1296409%lycee_creation-innovation-technologiques_2.txt*0.11222044%lycee_sante-social_2.txt*0.0929694%lycee_ses_1ses.txt*0.09272488%lycee_maths_2.txt*0.080883846%lycee_economie-gestion_2.txt*0.066219345%lycee_droit_TL.txt*0.061644293%lycee_creation-culture-design_2.txt*0.060415424%lycee_litterature_2.txt*0.05362815%lycee_svt_2.txt*0.040207032%lycee_maths_1ES-L.txt*0.039140992%lycee_informatique_TS.txt*0.03804186%lycee_maths_1S.txt*0.037578512%lycee_sciences-ingenieur_2.txt*0.033674434%college_technologie_college.txt*0.031519488%lycee_svt_Tspe.txt*0.031098302%lycee_sciences-laboratoire_2.txt*0.02886125%lycee_sciences_lycee.txt*0.028035043%lycee_arts_TL.txt*0.027859557%lycee_eps_tout.txt*0.025755865%college_arts_college.txt*0.02505511%college_maths_college.txt*0.023073863%lycee_ecjs_1.txt*0.021980047%lycee_eps_lycee.txt*0.020938424%college_histoire-geo_4.txt*0.020691378%college_histoire-geo_intro.txt*0.020201009%lycee_physique-chimie_2.txt*0.0186583%lycee_ses_TES.txt*0.018560309%lycee_physique-chimie_lycee.txt*0.016581079%lycee_physique-chimie_TS.txt*0.016225042%lycee_litterature_TL.txt*0.015990134%college_svt_college.txt*0.01573713%college_arts-musique_intro.txt*0.015231843%lycee_ecjs_2.txt*0.014872691%lycee_eps_T.txt*0.014855808%lycee_svt_lycee.txt*0.013860801%lycee_arts_2.txt*0.0136937%lycee_francais_2-1.txt*0.01367988%lycee_langues_2.txt*0.013287012%lycee_arts-creation_2.txt*0.011910152%lycee_histoire-geo_2.txt*0.011460601%lycee_litterature-etrangere_TL.txt*0.011428911%college_histoire-geo_6.txt*0.010972523%lycee_methodes-pratiques-scientifiques_2.txt*0.010966726%lycee_langues_1-T.txt*0.010608318%lycee_ses_2.txt*0.010263685%college_eps_college.txt*0.010001592%lycee_ecjs_T.txt*0.009936505%lycee_sciences-ingenieur_T.txt*0.009806184%college_histoire-geo_3.txt*0.009567776%lycee_histoire-geo_1.txt*0.009476129%college_histoire-geo_5.txt*0.008689539%lycee_histoire-geo_TES-L.txt*0.00835683%lycee_biotechnologies_2.txt*0.0076933196%lycee_histoire-des-arts_lycee.txt*0.0050718286%college_exploration_tout.txt*0.004938203%
